# General editing (114)
fal/fal-ai/bagel/edit | Bagel
fal/fal-ai/boogu-image/edit | Boogu Image
fal/fal-ai/chrono-edit | Chrono Edit
fal/fal-ai/chrono-edit-lora | Chrono Edit Lora
fal/fal-ai/dreamomni2/edit | DreamOmni2
fal/fal-ai/emu-3.5-image/edit-image | Emu 3.5 Image
fal/bria/fibo-edit/rewrite_text | Fibo Edit [Rewrite Text]
fal/fal-ai/firered-image-edit | Firered Image Edit
fal/fal-ai/firered-image-edit-v1.1 | Firered Image Edit V1.1
fal/fal-ai/flowedit | Flow-Edit
fal/fal-ai/flux-2/edit | FLUX 2 Edit
fal/fal-ai/flux-2/flash/edit | FLUX 2 Flash Edit
fal/fal-ai/flux-2-flex/edit | Flux 2 Flex
fal/fal-ai/flux-2-max/edit | Flux 2 Max
fal/fal-ai/flux-2-pro/edit | FLUX 2 Pro Edit
fal/fal-ai/flux-2/turbo/edit | FLUX 2 Turbo Edit
fal/fal-ai/flux-kontext/dev | FLUX.1 Kontext [dev]
fal/fal-ai/flux-2/klein/4b/edit | FLUX.2 [klein] 4B
fal/fal-ai/flux-2/klein/4b/base/edit | FLUX.2 [klein] 4B Base
fal/fal-ai/flux-2/klein/4b/edit/lora | FLUX.2 [klein] 4B LoRA
fal/fal-ai/flux-2/klein/9b/edit | FLUX.2 [klein] 9B
fal/fal-ai/flux-2/klein/9b/base/edit | FLUX.2 [klein] 9B Base
fal/fal-ai/flux-2/klein/9b/edit/lora | FLUX.2 [klein] 9B LoRA
fal/fal-ai/gemini-25-flash-image/edit | Gemini 2.5 Flash Image
fal/fal-ai/gemini-3-pro-image-preview/edit | Gemini 3 Pro Image Preview
fal/fal-ai/gemini-3.1-flash-image-preview/edit | Gemini 3.1 Flash Image Preview
fal/fal-ai/gpt-image-1-mini/edit | GPT Image 1 Mini
fal/openai/gpt-image-2/edit | GPT Image 2 API
fal/fal-ai/gpt-image-1/edit-image | gpt-image-1
fal/xai/grok-imagine-image/edit | Grok Imagine Image
fal/xai/grok-imagine-image/v2.0/edit | Grok Imagine Image 2.0
fal/fal-ai/hunyuan-image/v3/instruct/edit | Hunyuan Image
fal/fal-ai/ideogram/v3/remix | Ideogram
fal/fal-ai/ideogram/v2/edit | Ideogram V2 Edit
fal/fal-ai/ideogram/v2/remix | Ideogram V2 Remix
fal/fal-ai/ideogram/v2/turbo/edit | Ideogram V2 Turbo Edit
fal/fal-ai/ideogram/v2/turbo/remix | Ideogram V2 Turbo Remix
fal/fal-ai/ideogram/v2a/remix | Ideogram V2A Remix
fal/fal-ai/ideogram/v2a/turbo/remix | Ideogram V2A Turbo Remix
fal/fal-ai/ideogram/v3/edit | Ideogram V3 Edit
fal/fal-ai/joyai-image-edit | Joyai Image Edit
fal/fal-ai/kling-image/o3/image-to-image | Kling Image
fal/fal-ai/kling-image/v3/image-to-image | Kling Image
fal/fal-ai/longcat-image/edit | Longcat Image
fal/fal-ai/luma-photon/flash/modify | Luma Photon
fal/fal-ai/luma-photon/modify | Luma Photon
fal/microsoft/mai-image-2.5-pro/edit | MAI Image 2.5 Pro (Edit)
fal/fal-ai/nano-banana/edit | Nano Banana
fal/fal-ai/nano-banana-2/edit | Nano Banana 2
fal/google/nano-banana-lite/edit | Nano Banana Lite Edit
fal/fal-ai/nano-banana-pro/edit | Nano Banana Pro
fal/fal-ai/phota/edit | Phota
fal/fal-ai/qwen-image-edit | Qwen Image Edit
fal/fal-ai/qwen-image-edit-2509 | Qwen Image Edit 2509
fal/fal-ai/qwen-image-edit-2509-lora | Qwen Image Edit 2509 Lora
fal/fal-ai/qwen-image-edit-lora | Qwen Image Edit Lora
fal/fal-ai/qwen-image-edit-plus | Qwen Image Edit Plus
fal/fal-ai/qwen-image-edit-plus-lora | Qwen Image Edit Plus Lora
fal/fal-ai/qwen-image-max/edit | Qwen Image Max
fal/bytedance/seedream/v5/lite/edit | Seedream
fal/fal-ai/wan/v2.7/edit | Wan
fal/fal-ai/wan/v2.7/pro/edit | Wan
openrouter/black-forest-labs/flux.2-flex | Black Forest Labs: FLUX.2 Flex
openrouter/black-forest-labs/flux.2-klein-4b | Black Forest Labs: FLUX.2 Klein 4B
openrouter/black-forest-labs/flux.2-max | Black Forest Labs: FLUX.2 Max
openrouter/black-forest-labs/flux.2-pro | Black Forest Labs: FLUX.2 Pro
openrouter/bytedance-seed/seedream-4.5 | ByteDance Seed: Seedream 4.5
openrouter/bytedance-seed/seedream-5-0-lite | ByteDance Seed: Seedream 5.0 Lite
openrouter/bytedance-seed/seedream-5-0-pro | ByteDance Seed: Seedream 5.0 Pro
openrouter/google/gemini-2.5-flash-image | Google: Nano Banana (Gemini 2.5 Flash Image)
openrouter/google/gemini-3.1-flash-image-preview | Google: Nano Banana 2 (Gemini 3.1 Flash Image Preview)
openrouter/google/gemini-3.1-flash-image | Google: Nano Banana 2 (Gemini 3.1 Flash Image)
openrouter/google/gemini-3.1-flash-lite-image | Google: Nano Banana 2 Lite (Gemini 3.1 Flash Lite Image)
openrouter/google/gemini-3-pro-image-preview | Google: Nano Banana Pro (Gemini 3 Pro Image Preview)
openrouter/google/gemini-3-pro-image | Google: Nano Banana Pro (Gemini 3 Pro Image)
openrouter/krea/krea-2-large | Krea: Krea 2 Large
openrouter/krea/krea-2-medium | Krea: Krea 2 Medium
openrouter/krea/krea-2-medium-turbo | Krea: Krea 2 Medium Turbo
openrouter/meta/muse-image | Meta: Muse Image
openrouter/microsoft/mai-image-2.5 | Microsoft AI: MAI-Image-2.5
openrouter/microsoft/mai-image-2.5-pro | Microsoft AI: MAI-Image-2.5 Pro
openrouter/microsoft/mai-image-2.6 | Microsoft AI: MAI-Image-2.6
openrouter/microsoft/mai-image-2.6-flash | Microsoft AI: MAI-Image-2.6 Flash
openrouter/openai/gpt-image-1 | OpenAI: GPT Image 1
openrouter/openai/gpt-image-1-mini | OpenAI: GPT Image 1 Mini
openrouter/openai/gpt-image-2 | OpenAI: GPT Image 2
openrouter/openai/gpt-image-2.5-flare | OpenAI: GPT Image 2.5 Flare
openrouter/openai/gpt-image-2.5-sunburst | OpenAI: GPT Image 2.5 Sunburst
openrouter/openai/gpt-5-image | OpenAI: GPT-5 Image
openrouter/openai/gpt-5-image-mini | OpenAI: GPT-5 Image Mini
openrouter/openai/gpt-5.4-image-2 | OpenAI: GPT-5.4 Image 2
openrouter/qwen/qwen-image-3 | Qwen: Qwen Image 3
openrouter/qwen/qwen-image-3-pro | Qwen: Qwen Image 3 Pro
openrouter/recraft/recraft-v3 | Recraft: Recraft V3
openrouter/recraft/recraft-v4 | Recraft: Recraft V4
openrouter/recraft/recraft-v4-pro | Recraft: Recraft V4 Pro
openrouter/recraft/recraft-v4-pro-vector | Recraft: Recraft V4 Pro Vector
openrouter/recraft/recraft-v4-styles | Recraft: Recraft V4 Styles
openrouter/recraft/recraft-v4-styles-pro | Recraft: Recraft V4 Styles Pro
openrouter/recraft/recraft-v4-styles-pro-vector | Recraft: Recraft V4 Styles Pro Vector
openrouter/recraft/recraft-v4-styles-vector | Recraft: Recraft V4 Styles Vector
openrouter/recraft/recraft-v4-vector | Recraft: Recraft V4 Vector
openrouter/recraft/recraft-v4.1 | Recraft: Recraft V4.1
openrouter/recraft/recraft-v4.1-pro | Recraft: Recraft V4.1 Pro
openrouter/recraft/recraft-v4.1-pro-vector | Recraft: Recraft V4.1 Pro Vector
openrouter/recraft/recraft-v4.1-utility | Recraft: Recraft V4.1 Utility
openrouter/recraft/recraft-v4.1-utility-pro | Recraft: Recraft V4.1 Utility Pro
openrouter/recraft/recraft-v4.1-vector | Recraft: Recraft V4.1 Vector
openrouter/sourceful/riverflow-v2-fast | Sourceful: Riverflow V2 Fast
openrouter/sourceful/riverflow-v2-pro | Sourceful: Riverflow V2 Pro
openrouter/sourceful/riverflow-v2.5-fast | Sourceful: Riverflow V2.5 Fast
openrouter/sourceful/riverflow-v2.5-pro | Sourceful: Riverflow V2.5 Pro
openrouter/x-ai/grok-imagine-image-quality | SpaceXAI: Grok Imagine Image Quality
openrouter/x-ai/grok-imagine-image-2.0 | xAI: Grok Imagine Image 2.0

# Generate from image (76)
fal/fal-ai/flux-2/klein/realtime | Flux 2 [klein] Realtime
fal/fal-ai/flux-1/dev/image-to-image | FLUX.1 [dev]
fal/fal-ai/flux-1/krea/image-to-image | FLUX.1 Krea [dev]
fal/fal-ai/flux/krea/image-to-image | FLUX.1 Krea [dev]
fal/fal-ai/flux-1/srpo/image-to-image | FLUX.1 SRPO [dev]
fal/fal-ai/flux/srpo/image-to-image | FLUX.1 SRPO [dev]
fal/fal-ai/hidream-i1-full/image-to-image | Hidream I1 Full
fal/fal-ai/ideogram/v3/replace-background | Ideogram Replace Background
fal/rundiffusion-fal/juggernaut-flux/base/image-to-image | Juggernaut Flux Base
fal/rundiffusion-fal/juggernaut-flux/pro/image-to-image | Juggernaut Flux Pro
fal/fal-ai/kolors/image-to-image | Kolors Image to Image
fal/fal-ai/fast-lcm-diffusion/image-to-image | Latent Consistency Models (v1.5/XL)
fal/fal-ai/sdxl-controlnet-union/image-to-image | SDXL ControlNet Union
fal/fal-ai/lora/image-to-image | Stable Diffusion with LoRAs
fal/fal-ai/fast-sdxl/image-to-image | Stable Diffusion XL
fal/fal-ai/fast-lightning-sdxl/image-to-image | Stable Diffusion XL Lightning
fal/fal-ai/uno | Uno
fal/fal-ai/vidu/q2/reference-to-image | Vidu
fal/fal-ai/vidu/reference-to-image | Vidu
fal/fal-ai/wan/v2.2-a14b/image-to-image | Wan
fal/fal-ai/wan-25-preview/image-to-image | Wan 2.5 Image to Image
fal/wan/v2.6/image-to-image | Wan v2.6 Image to Image
fal/fal-ai/z-image/turbo/image-to-image | Z Image Turbo Image To Image
fal/fal-ai/z-image/turbo/image-to-image/lora | Z Image Turbo Image To Image Lora
openrouter/black-forest-labs/flux.2-flex | Black Forest Labs: FLUX.2 Flex
openrouter/black-forest-labs/flux.2-klein-4b | Black Forest Labs: FLUX.2 Klein 4B
openrouter/black-forest-labs/flux.2-max | Black Forest Labs: FLUX.2 Max
openrouter/black-forest-labs/flux.2-pro | Black Forest Labs: FLUX.2 Pro
openrouter/bytedance-seed/seedream-4.5 | ByteDance Seed: Seedream 4.5
openrouter/bytedance-seed/seedream-5-0-lite | ByteDance Seed: Seedream 5.0 Lite
openrouter/bytedance-seed/seedream-5-0-pro | ByteDance Seed: Seedream 5.0 Pro
openrouter/google/gemini-2.5-flash-image | Google: Nano Banana (Gemini 2.5 Flash Image)
openrouter/google/gemini-3.1-flash-image-preview | Google: Nano Banana 2 (Gemini 3.1 Flash Image Preview)
openrouter/google/gemini-3.1-flash-image | Google: Nano Banana 2 (Gemini 3.1 Flash Image)
openrouter/google/gemini-3.1-flash-lite-image | Google: Nano Banana 2 Lite (Gemini 3.1 Flash Lite Image)
openrouter/google/gemini-3-pro-image-preview | Google: Nano Banana Pro (Gemini 3 Pro Image Preview)
openrouter/google/gemini-3-pro-image | Google: Nano Banana Pro (Gemini 3 Pro Image)
openrouter/krea/krea-2-large | Krea: Krea 2 Large
openrouter/krea/krea-2-medium | Krea: Krea 2 Medium
openrouter/krea/krea-2-medium-turbo | Krea: Krea 2 Medium Turbo
openrouter/meta/muse-image | Meta: Muse Image
openrouter/microsoft/mai-image-2.5 | Microsoft AI: MAI-Image-2.5
openrouter/microsoft/mai-image-2.5-pro | Microsoft AI: MAI-Image-2.5 Pro
openrouter/microsoft/mai-image-2.6 | Microsoft AI: MAI-Image-2.6
openrouter/microsoft/mai-image-2.6-flash | Microsoft AI: MAI-Image-2.6 Flash
openrouter/openai/gpt-image-1 | OpenAI: GPT Image 1
openrouter/openai/gpt-image-1-mini | OpenAI: GPT Image 1 Mini
openrouter/openai/gpt-image-2 | OpenAI: GPT Image 2
openrouter/openai/gpt-image-2.5-flare | OpenAI: GPT Image 2.5 Flare
openrouter/openai/gpt-image-2.5-sunburst | OpenAI: GPT Image 2.5 Sunburst
openrouter/openai/gpt-5-image | OpenAI: GPT-5 Image
openrouter/openai/gpt-5-image-mini | OpenAI: GPT-5 Image Mini
openrouter/openai/gpt-5.4-image-2 | OpenAI: GPT-5.4 Image 2
openrouter/qwen/qwen-image-3 | Qwen: Qwen Image 3
openrouter/qwen/qwen-image-3-pro | Qwen: Qwen Image 3 Pro
openrouter/recraft/recraft-v3 | Recraft: Recraft V3
openrouter/recraft/recraft-v4 | Recraft: Recraft V4
openrouter/recraft/recraft-v4-pro | Recraft: Recraft V4 Pro
openrouter/recraft/recraft-v4-pro-vector | Recraft: Recraft V4 Pro Vector
openrouter/recraft/recraft-v4-styles | Recraft: Recraft V4 Styles
openrouter/recraft/recraft-v4-styles-pro | Recraft: Recraft V4 Styles Pro
openrouter/recraft/recraft-v4-styles-pro-vector | Recraft: Recraft V4 Styles Pro Vector
openrouter/recraft/recraft-v4-styles-vector | Recraft: Recraft V4 Styles Vector
openrouter/recraft/recraft-v4-vector | Recraft: Recraft V4 Vector
openrouter/recraft/recraft-v4.1 | Recraft: Recraft V4.1
openrouter/recraft/recraft-v4.1-pro | Recraft: Recraft V4.1 Pro
openrouter/recraft/recraft-v4.1-pro-vector | Recraft: Recraft V4.1 Pro Vector
openrouter/recraft/recraft-v4.1-utility | Recraft: Recraft V4.1 Utility
openrouter/recraft/recraft-v4.1-utility-pro | Recraft: Recraft V4.1 Utility Pro
openrouter/recraft/recraft-v4.1-vector | Recraft: Recraft V4.1 Vector
openrouter/sourceful/riverflow-v2-fast | Sourceful: Riverflow V2 Fast
openrouter/sourceful/riverflow-v2-pro | Sourceful: Riverflow V2 Pro
openrouter/sourceful/riverflow-v2.5-fast | Sourceful: Riverflow V2.5 Fast
openrouter/sourceful/riverflow-v2.5-pro | Sourceful: Riverflow V2.5 Pro
openrouter/x-ai/grok-imagine-image-quality | SpaceXAI: Grok Imagine Image Quality
openrouter/x-ai/grok-imagine-image-2.0 | xAI: Grok Imagine Image 2.0

# Fill and inpaint (21)
fal/fal-ai/bria/genfill | Bria GenFill
fal/fal-ai/fast-sdxl-controlnet-canny/inpainting | ControlNet SDXL
fal/fal-ai/finegrain-eraser | Finegrain Eraser
fal/fal-ai/flux-kontext-lora/inpaint | Flux Kontext Lora
fal/fal-ai/flux-lora-fill | FLUX.1 [dev] Fill with LoRAs
fal/fal-ai/flux-general/inpainting | FLUX.1 [dev] with Controlnets and Loras
fal/fal-ai/flux-pro/v1/fill | FLUX.1 [pro] Fill
fal/fal-ai/flux-pro/v1/fill-finetuned | FLUX.1 [pro] Fill Fine-tuned
fal/fal-ai/flux-krea-lora/inpainting | FLUX.1 Krea [dev] Inpainting with LoRAs
fal/bria/genfill/v2 | Genfill
fal/fal-ai/inpaint | Inpainting sdxl and sd
fal/rundiffusion-fal/juggernaut-flux-lora/inpainting | Juggernaut Flux Lora
fal/fal-ai/fast-lcm-diffusion/inpainting | Latent Consistency Models (v1.5/XL)
fal/fal-ai/playground-v25/inpainting | Playground v2.5
fal/fal-ai/qwen-image-edit/inpaint | Qwen Image Edit
fal/fal-ai/sdxl-controlnet-union/inpainting | SDXL ControlNet Union
fal/fal-ai/lora/inpaint | Stable Diffusion with LoRAs
fal/fal-ai/fast-sdxl/inpainting | Stable Diffusion XL
fal/fal-ai/fast-lightning-sdxl/inpainting | Stable Diffusion XL Lightning
fal/fal-ai/z-image/turbo/inpaint | Z Image Turbo Inpaint
fal/fal-ai/z-image/turbo/inpaint/lora | Z Image Turbo Inpaint Lora

